T (K),Lambda(T),H_Coll,H_el
1.0000e0,1.6517e-22,6.9151e-19,1.3444e-20
1.1092e0,1.9294e-22,8.0779e-19,1.5705e-20
1.2303e0,2.2539e-22,9.4362e-19,1.8346e-20
1.3646e0,2.6329e-22,1.1023e-18,2.1431e-20
1.5136e0,3.0756e-22,1.2877e-18,2.5035e-20
1.6788e0,3.5928e-22,1.5042e-18,2.9244e-20
1.8621e0,4.1969e-22,1.7571e-18,3.4162e-20
2.0654e0,4.9026e-22,2.0526e-18,3.9906e-20
2.2909e0,5.7270e-22,2.3977e-18,4.6617e-20
2.5410e0,6.6901e-22,2.8009e-18,5.4456e-20
2.8184e0,7.8150e-22,3.2719e-18,6.3612e-20
3.1261e0,9.1291e-22,3.8221e-18,7.4309e-20
3.4674e0,1.0664e-21,4.4648e-18,8.6804e-20
3.8459e0,1.2457e-21,5.2155e-18,1.0140e-19
4.2658e0,1.4552e-21,6.0925e-18,1.1845e-19
4.7315e0,1.6999e-21,7.1170e-18,1.3837e-19
5.2481e0,1.9858e-21,8.3138e-18,1.6164e-19
5.8210e0,2.3197e-21,9.7118e-18,1.8882e-19
6.4565e0,2.7098e-21,1.1345e-17,2.2057e-19
7.1614e0,3.1654e-21,1.3253e-17,2.5766e-19
7.9433e0,3.6977e-21,1.5481e-17,3.0098e-19
8.8105e0,4.3195e-21,1.8084e-17,3.5159e-19
9.7724e0,5.0458e-21,2.1125e-17,4.1072e-19
1.0839e1,5.8943e-21,2.4677e-17,4.7978e-19
1.2023e1,6.8854e-21,2.8827e-17,5.6046e-19
1.3335e1,8.0432e-21,3.3674e-17,6.5470e-19
1.4791e1,9.3957e-21,3.9337e-17,7.6479e-19
1.6406e1,1.0976e-20,4.5951e-17,8.9339e-19
1.8197e1,1.2821e-20,5.3678e-17,1.0436e-18
2.0184e1,1.4977e-20,6.2705e-17,1.2191e-18
2.2387e1,1.7496e-20,7.3249e-17,1.4241e-18
2.4831e1,2.0438e-20,8.5566e-17,1.6636e-18
2.7542e1,2.3874e-20,9.9954e-17,1.9433e-18
3.0549e1,2.7889e-20,1.1676e-16,2.2701e-18
3.3884e1,3.2578e-20,1.3640e-16,2.6518e-18
3.7584e1,3.8057e-20,1.5933e-16,3.0977e-18
4.1687e1,4.4456e-20,1.8612e-16,3.6186e-18
4.6238e1,5.1931e-20,2.1742e-16,4.2271e-18
5.1286e1,6.0664e-20,2.5398e-16,4.9379e-18
5.6885e1,7.0865e-20,2.9669e-16,5.7682e-18
6.3096e1,8.2781e-20,3.4658e-16,6.7382e-18
6.9984e1,9.6701e-20,4.0485e-16,7.8712e-18
7.7625e1,1.1296e-19,4.7293e-16,9.1948e-18
8.6099e1,1.3196e-19,5.5246e-16,1.0741e-17
9.5499e1,1.5415e-19,6.4536e-16,1.2547e-17
1.0593e2,1.8007e-19,7.5387e-16,1.4657e-17
1.1749e2,2.1034e-19,8.8064e-16,1.7122e-17
1.3032e2,2.4571e-19,1.0287e-15,2.0001e-17
1.4454e2,2.8703e-19,1.2017e-15,2.3364e-17
1.6032e2,3.3530e-19,1.4038e-15,2.7292e-17
1.7783e2,3.9168e-19,1.6398e-15,3.1882e-17
1.9724e2,4.5754e-19,1.9156e-15,3.7243e-17
2.1878e2,5.3448e-19,2.2377e-15,4.3505e-17
2.4266e2,6.2435e-19,2.6140e-15,5.0821e-17
2.6915e2,7.2934e-19,3.0535e-15,5.9367e-17
2.9854e2,8.5198e-19,3.5670e-15,6.9349e-17
3.3113e2,9.9525e-19,4.1668e-15,8.1011e-17
3.6728e2,1.1626e-18,4.8674e-15,9.4633e-17
4.0738e2,1.3581e-18,5.6859e-15,1.1055e-16
4.5186e2,1.5865e-18,6.6420e-15,1.2913e-16
5.0119e2,1.8532e-18,7.7589e-15,1.5085e-16
5.5590e2,2.1649e-18,9.0636e-15,1.7621e-16
6.1660e2,2.5289e-18,1.0588e-14,2.0585e-16
6.8391e2,2.9541e-18,1.2368e-14,2.4046e-16
7.5858e2,3.4509e-18,1.4448e-14,2.8089e-16
8.4140e2,4.0312e-18,1.6877e-14,3.2813e-16
9.3325e2,4.7090e-18,1.9715e-14,3.8330e-16
1.0351e3,5.5009e-18,2.3030e-14,4.4776e-16
1.1482e3,6.4258e-18,2.6903e-14,5.2305e-16
1.2735e3,7.5064e-18,3.1427e-14,6.1100e-16
1.4125e3,8.7686e-18,3.6711e-14,7.1374e-16
1.5668e3,1.0243e-17,4.2884e-14,8.3376e-16
1.7378e3,1.1965e-17,5.0096e-14,9.7396e-16
1.9275e3,1.3978e-17,5.8519e-14,1.1377e-15
2.1380e3,1.6328e-17,6.8360e-14,1.3291e-15
2.3714e3,1.9073e-17,7.9854e-14,1.5525e-15
2.6303e3,2.2281e-17,9.3282e-14,1.8136e-15
2.9174e3,2.6027e-17,1.0897e-13,2.1186e-15
3.2359e3,3.0404e-17,1.2729e-13,2.4748e-15
3.5892e3,3.5517e-17,1.4870e-13,2.8910e-15
3.9811e3,4.1489e-17,1.7370e-13,3.3771e-15
4.4157e3,4.8465e-17,2.0291e-13,3.9450e-15
4.8978e3,5.6615e-17,2.3703e-13,4.6083e-15
5.4325e3,6.6135e-17,2.7688e-13,5.3832e-15
